index,ds,227645,230054,247467,265812,269255,283639
210,2010-07-31 00:00:00,512,0,1024,1216,512,0
211,2010-08-01 00:00:00,0,0,0,0,0,0
212,2010-08-02 00:00:00,1024,0,992,480,768,497
213,2010-08-03 00:00:00,768,0,512,768,960,0
214,2010-08-04 00:00:00,0,0,768,1216,1280,320
215,2010-08-05 00:00:00,768,0,512,1184,1024,792
216,2010-08-06 00:00:00,1280,0,512,1232,768,425
217,2010-08-07 00:00:00,704,0,256,800,0,0
218,2010-08-08 00:00:00,0,0,0,0,0,0
219,2010-08-09 00:00:00,1280,0,2288,1024,0,601
220,2010-08-10 00:00:00,1008,0,2304,1216,0,381
221,2010-08-11 00:00:00,1024,0,2816,1152,256,1164
222,2010-08-12 00:00:00,1280,0,2304,1056,512,716
223,2010-08-13 00:00:00,512,0,3072,1012,1024,0
224,2010-08-14 00:00:00,832,0,0,1152,1024,440
225,2010-08-15 00:00:00,0,0,0,0,0,0
226,2010-08-16 00:00:00,1536,0,3066,928,1280,446
227,2010-08-17 00:00:00,1024,0,2800,896,1024,774
228,2010-08-18 00:00:00,768,0,2048,1504,512,905
229,2010-08-19 00:00:00,1280,0,2048,1616,1280,949
230,2010-08-20 00:00:00,1024,0,3584,1024,768,240
231,2010-08-21 00:00:00,512,0,256,1472,768,696
232,2010-08-22 00:00:00,0,0,0,0,0,0
233,2010-08-23 00:00:00,1024,0,3072,1376,768,915
234,2010-08-24 00:00:00,1456,0,2304,1332,1024,911
235,2010-08-25 00:00:00,1280,0,2816,1764,768,493
236,2010-08-26 00:00:00,1024,0,2816,1056,1472,875
237,2010-08-27 00:00:00,512,0,3068,1536,512,544
238,2010-08-28 00:00:00,512,0,1140,1224,512,875
239,2010-08-29 00:00:00,0,0,0,0,0,0
240,2010-08-30 00:00:00,768,0,2560,1280,928,425
241,2010-08-31 00:00:00,1024,0,2740,1248,1280,709
242,2010-09-01 00:00:00,768,0,1792,1312,1024,1825
243,2010-09-02 00:00:00,768,0,2816,1312,768,425
244,2010-09-03 00:00:00,1791,0,2791,1056,1216,918
245,2010-09-04 00:00:00,1028,0,1024,880,1024,977
246,2010-09-05 00:00:00,0,0,0,0,0,0
247,2010-09-06 00:00:00,1536,0,2304,1056,512,784
248,2010-09-07 00:00:00,512,0,2816,1600,768,1513
249,2010-09-08 00:00:00,1216,0,2784,1216,1432,835
250,2010-09-09 00:00:00,768,0,2304,1216,1024,625
251,2010-09-10 00:00:00,1792,0,2740,928,1024,643
252,2010-09-11 00:00:00,736,0,768,960,1396,697
253,2010-09-12 00:00:00,0,0,0,0,0,0
254,2010-09-13 00:00:00,1456,0,3072,1528,1024,697
255,2010-09-14 00:00:00,1984,0,2304,1536,1536,1394
256,2010-09-15 00:00:00,1088,0,2560,860,1024,713
257,2010-09-16 00:00:00,1544,0,1792,776,1280,839
258,2010-09-17 00:00:00,1224,0,2816,1432,1024,1570
259,2010-09-18 00:00:00,1280,0,0,1380,768,943
260,2010-09-19 00:00:00,0,0,0,0,0,0
261,2010-09-20 00:00:00,928,0,1536,1440,0,200
262,2010-09-21 00:00:00,0,0,0,0,0,0
263,2010-09-23 00:00:00,0,0,0,0,0,0
264,2010-09-24 00:00:00,0,0,768,608,512,528
265,2010-09-25 00:00:00,512,0,0,896,0,656
266,2010-09-26 00:00:00,0,0,0,0,0,0
267,2010-09-27 00:00:00,1024,0,2048,1408,1024,1500
268,2010-09-28 00:00:00,992,0,2304,1520,768,536
269,2010-09-29 00:00:00,1280,0,2048,768,1024,897
270,2010-09-30 00:00:00,1008,0,1792,1536,1152,697
271,2010-10-01 00:00:00,1536,0,3072,704,768,1565
272,2010-10-02 00:00:00,496,0,0,384,960,288
273,2010-10-03 00:00:00,0,0,0,0,0,0
274,2010-10-04 00:00:00,1024,0,2816,1760,1280,1616
275,2010-10-05 00:00:00,1024,0,2560,1280,768,1138
276,2010-10-06 00:00:00,1504,0,2560,1040,1280,725
277,2010-10-07 00:00:00,1024,0,2304,960,960,875
278,2010-10-08 00:00:00,1024,0,2816,1088,1504,625
279,2010-10-09 00:00:00,1200,0,0,804,752,969
280,2010-10-10 00:00:00,0,0,0,0,0,0
281,2010-10-11 00:00:00,1024,0,2560,1312,768,922
282,2010-10-12 00:00:00,1248,0,2560,1264,704,497
