index,ds,1041,1692,1815,1853,1878
287,2010-10-17 00:00:00,0,0,240,0,0
288,2010-10-18 00:00:00,2829,8059,38511,4271,4792
289,2010-10-19 00:00:00,4656,9308,46085,5212,3988
290,2010-10-20 00:00:00,3030,7026,48661,5341,5705
291,2010-10-21 00:00:00,4831,6013,44492,4342,4920
292,2010-10-22 00:00:00,5756,8932,43997,4487,3584
293,2010-10-23 00:00:00,2936,3414,30003,1732,1258
294,2010-10-24 00:00:00,0,0,183,0,0
295,2010-10-25 00:00:00,4229,6329,35056,3956,2677
296,2010-10-26 00:00:00,4885,9931,48513,4718,3695
297,2010-10-27 00:00:00,3917,8414,42894,4560,3404
298,2010-10-28 00:00:00,5086,6945,42786,4141,4128
299,2010-10-29 00:00:00,5894,6038,42135,4003,4730
300,2010-10-30 00:00:00,2838,3738,27616,3122,1572
301,2010-10-31 00:00:00,0,0,224,0,0
302,2010-11-01 00:00:00,4657,7839,36464,3509,4308
303,2010-11-02 00:00:00,5164,9015,48533,4253,5811
304,2010-11-03 00:00:00,2676,7935,48205,4907,5274
305,2010-11-04 00:00:00,3829,7338,47695,4425,4495
306,2010-11-05 00:00:00,4244,7918,41345,5370,3446
307,2010-11-06 00:00:00,4410,4308,22990,1238,1744
308,2010-11-07 00:00:00,0,0,221,0,0
309,2010-11-08 00:00:00,4097,6653,35075,3308,3477
310,2010-11-09 00:00:00,3757,8720,46986,3996,4462
311,2010-11-10 00:00:00,5373,8369,49129,3678,4531
312,2010-11-11 00:00:00,5807,8992,40145,3917,4478
313,2010-11-12 00:00:00,4434,9625,41265,3756,4340
314,2010-11-13 00:00:00,4324,5214,26632,2473,2468
315,2010-11-14 00:00:00,0,0,205,0,0
316,2010-11-15 00:00:00,4523,5912,37721,3118,3486
317,2010-11-16 00:00:00,3214,7771,50349,4432,4515
318,2010-11-17 00:00:00,5468,10055,45437,4122,6444
319,2010-11-18 00:00:00,6350,9483,44765,4658,4714
320,2010-11-19 00:00:00,5957,6233,43075,4767,4956
321,2010-11-20 00:00:00,3744,3813,26514,2067,1512
322,2010-11-21 00:00:00,0,0,240,0,0
323,2010-11-22 00:00:00,2804,6899,38509,3546,3814
324,2010-11-23 00:00:00,5590,8679,46730,5062,3214
325,2010-11-24 00:00:00,6242,8149,45819,4166,4302
326,2010-11-25 00:00:00,5458,8439,39634,4315,3264
327,2010-11-26 00:00:00,7329,7181,44029,3404,4108
328,2010-11-27 00:00:00,3598,4694,24035,1714,2234
329,2010-11-28 00:00:00,0,0,219,0,0
330,2010-11-29 00:00:00,4643,6633,33563,2646,2254
331,2010-11-30 00:00:00,4827,8888,46665,3032,5500
332,2010-12-01 00:00:00,5708,7308,48389,3534,7788
333,2010-12-02 00:00:00,3800,6558,40909,4009,5462
334,2010-12-03 00:00:00,5397,7350,40649,4027,4660
335,2010-12-04 00:00:00,4488,5298,23320,1700,3352
336,2010-12-05 00:00:00,0,0,261,0,0
337,2010-12-06 00:00:00,3340,6160,36284,3893,4458
338,2010-12-07 00:00:00,3886,8169,43773,4316,5922
339,2010-12-08 00:00:00,4962,7120,44503,3384,3684
340,2010-12-09 00:00:00,4624,8122,41339,3541,6328
341,2010-12-10 00:00:00,6054,7645,37348,5498,5162
342,2010-12-11 00:00:00,6346,5418,24533,2315,3580
343,2010-12-12 00:00:00,0,0,1224,0,0
344,2010-12-13 00:00:00,4944,7512,37041,3763,4560
345,2010-12-14 00:00:00,5227,9056,41924,4009,6976
346,2010-12-15 00:00:00,4754,9473,44540,3471,5023
347,2010-12-16 00:00:00,2487,7246,42019,4068,4135
348,2010-12-17 00:00:00,4885,7532,45009,3919,4808
349,2010-12-18 00:00:00,4376,6016,26514,2638,3272
350,2010-12-19 00:00:00,0,0,287,0,0
351,2010-12-20 00:00:00,4026,6337,42128,4639,5178
352,2010-12-21 00:00:00,2524,9705,47241,4707,4966
353,2010-12-22 00:00:00,4210,8721,48377,3423,4034
354,2010-12-23 00:00:00,3923,9301,44227,3689,5923
355,2010-12-24 00:00:00,5888,8248,47852,4785,6063
356,2010-12-25 00:00:00,622,824,7023,0,424
357,2010-12-26 00:00:00,0,0,324,0,0
358,2010-12-27 00:00:00,5448,6519,42282,2848,6624
359,2010-12-28 00:00:00,3697,8542,45157,3375,4332
360,2010-12-29 00:00:00,4747,7376,48085,3642,4753
361,2010-12-30 00:00:00,5218,6457,46144,4415,4951
362,2010-12-31 00:00:00,3804,6076,35503,4278,4563
363,2011-01-01 00:00:00,0,0,1019,0,0
364,2011-01-02 00:00:00,0,0,319,0,0
365,2011-01-03 00:00:00,4274,7243,47365,3596,6127
366,2011-01-04 00:00:00,4613,9970,49523,5139,5223
367,2011-01-05 00:00:00,4805,10008,51535,5053,6206
368,2011-01-06 00:00:00,3221,8294,49034,4939,4998
369,2011-01-07 00:00:00,7322,8067,52374,6909,6030
370,2011-01-08 00:00:00,3527,3176,29335,4835,3772
371,2011-01-09 00:00:00,0,0,283,0,0
372,2011-01-10 00:00:00,4370,6746,43098,4179,3827
373,2011-01-11 00:00:00,6919,9312,52984,4460,7034
374,2011-01-12 00:00:00,7244,11057,51152,4646,6418
375,2011-01-13 00:00:00,7976,10847,47324,5321,4232
376,2011-01-14 00:00:00,6738,8335,45128,5435,5578
377,2011-01-15 00:00:00,2750,4842,29087,4865,3030
378,2011-01-16 00:00:00,0,0,361,0,0
379,2011-01-17 00:00:00,4923,7542,43958,4034,7106
380,2011-01-18 00:00:00,3095,6699,54062,3616,6588
381,2011-01-19 00:00:00,4246,9795,49697,4853,5624
382,2011-01-20 00:00:00,5754,9426,47200,4587,5406
383,2011-01-21 00:00:00,4858,8109,47798,4468,4406
384,2011-01-22 00:00:00,4755,3893,31222,5267,2178
385,2011-01-23 00:00:00,0,0,431,0,0
386,2011-01-24 00:00:00,3333,7069,41231,5462,7434
387,2011-01-25 00:00:00,6666,7928,53525,5327,6435
388,2011-01-26 00:00:00,7011,8590,55648,4414,5687
389,2011-01-27 00:00:00,7219,10764,53089,4501,5860
390,2011-01-28 00:00:00,9943,9955,50954,5748,6091
391,2011-01-29 00:00:00,5511,5007,34338,5622,5689
392,2011-01-30 00:00:00,0,0,523,0,0
393,2011-01-31 00:00:00,6126,6552,44537,5285,6664
394,2011-02-01 00:00:00,5700,7416,41747,5370,6769
395,2011-02-02 00:00:00,0,0,274,0,0
396,2011-02-04 00:00:00,0,0,344,0,0
397,2011-02-05 00:00:00,892,426,8145,1620,1246
398,2011-02-06 00:00:00,0,0,304,0,0
399,2011-02-07 00:00:00,3934,7424,37654,5034,5412
400,2011-02-08 00:00:00,5236,8925,46229,4340,4422
401,2011-02-09 00:00:00,5291,7866,42792,5623,5780
402,2011-02-10 00:00:00,4979,9253,42208,4946,5274
403,2011-02-11 00:00:00,8413,8944,41361,4698,5574
404,2011-02-12 00:00:00,4396,4022,25039,6118,3252
405,2011-02-13 00:00:00,0,0,440,420,0
406,2011-02-14 00:00:00,5798,6991,32484,5126,4923
407,2011-02-15 00:00:00,5636,9436,40133,5127,5169
408,2011-02-16 00:00:00,5578,8462,40487,5170,6461
409,2011-02-17 00:00:00,5370,10411,45263,4551,6027
410,2011-02-18 00:00:00,6922,9007,41877,6018,6862
411,2011-02-19 00:00:00,4144,5314,24374,5124,2426
412,2011-02-20 00:00:00,0,0,247,0,0
413,2011-02-21 00:00:00,4965,7877,32540,5077,5294
414,2011-02-22 00:00:00,4994,8305,45612,5529,5670
415,2011-02-23 00:00:00,7326,8742,44170,5500,3676
416,2011-02-24 00:00:00,6226,8381,39947,5799,5752
417,2011-02-25 00:00:00,6888,8456,44161,5449,4071
418,2011-02-26 00:00:00,6790,4946,29582,4680,2345
419,2011-02-27 00:00:00,0,0,299,188,0
420,2011-02-28 00:00:00,9926,8221,35123,6540,5552
421,2011-03-01 00:00:00,1646,316,8799,3347,1896
422,2011-03-02 00:00:00,5648,8906,52808,5806,5289
423,2011-03-03 00:00:00,6022,9409,50489,6006,6426
424,2011-03-04 00:00:00,7598,7923,48766,5473,6098
425,2011-03-05 00:00:00,4607,5362,27223,5091,2347
426,2011-03-06 00:00:00,0,0,367,256,0
427,2011-03-07 00:00:00,7056,7222,44500,5007,3992
428,2011-03-08 00:00:00,5386,8164,48046,5560,6248
429,2011-03-09 00:00:00,8690,7841,45782,4690,4611
430,2011-03-10 00:00:00,5282,9477,46499,5321,4648
431,2011-03-11 00:00:00,7531,8501,46399,6594,4678
432,2011-03-12 00:00:00,4549,6215,22888,4456,1938
433,2011-03-13 00:00:00,0,0,346,0,0
434,2011-03-14 00:00:00,3676,6880,39137,4393,4254
435,2011-03-15 00:00:00,8268,9230,47297,6391,5645
436,2011-03-16 00:00:00,5636,8490,47882,5516,5714
437,2011-03-17 00:00:00,6880,7155,44723,4988,3215
438,2011-03-18 00:00:00,12292,7574,45769,6337,3591
439,2011-03-19 00:00:00,5294,5199,23412,3484,1426
440,2011-03-20 00:00:00,0,0,308,0,0
441,2011-03-21 00:00:00,6238,8627,40620,4259,4550
442,2011-03-22 00:00:00,5810,9356,40475,4622,3495
443,2011-03-23 00:00:00,7304,8175,51906,5210,4316
444,2011-03-24 00:00:00,8970,8536,37126,4571,5712
445,2011-03-25 00:00:00,13088,8347,48241,5367,4343
446,2011-03-26 00:00:00,7002,4671,24673,3927,2678
447,2011-03-27 00:00:00,0,0,339,0,0
448,2011-03-28 00:00:00,10142,8189,37101,5548,3592
449,2011-03-29 00:00:00,8740,7817,47461,4955,3190
450,2011-03-30 00:00:00,8558,8384,42925,5464,4046
451,2011-03-31 00:00:00,6462,9460,42715,5787,5856
452,2011-04-01 00:00:00,8280,9488,47723,6326,6228
453,2011-04-02 00:00:00,5488,5252,23316,5186,2908
454,2011-04-03 00:00:00,0,0,330,0,0
455,2011-04-04 00:00:00,6894,5228,35133,5410,3614
456,2011-04-05 00:00:00,8362,8253,37302,5401,3944
457,2011-04-06 00:00:00,9912,7018,46739,5171,4338
458,2011-04-07 00:00:00,8759,8853,47796,5510,4900
459,2011-04-08 00:00:00,9110,8621,42931,5780,4616
460,2011-04-09 00:00:00,11687,5318,23901,5181,1178
461,2011-04-10 00:00:00,0,0,367,0,0
462,2011-04-11 00:00:00,7750,7769,38143,4747,3656
463,2011-04-12 00:00:00,12066,9028,49628,6028,4744
464,2011-04-13 00:00:00,9867,8814,48931,5878,2896
465,2011-04-14 00:00:00,7750,7421,44220,5968,4630
466,2011-04-15 00:00:00,10548,8448,48199,5824,3370
467,2011-04-16 00:00:00,6786,5656,23724,5094,1964
468,2011-04-17 00:00:00,0,0,398,0,0
469,2011-04-18 00:00:00,6146,8048,38174,5451,3883
470,2011-04-19 00:00:00,10055,9799,48464,5490,1694
471,2011-04-20 00:00:00,7007,8986,47508,6117,2444
472,2011-04-21 00:00:00,9296,9033,43225,5347,4401
473,2011-04-22 00:00:00,9386,7262,42983,5473,4556
474,2011-04-23 00:00:00,7958,3584,25056,7130,1762
475,2011-04-24 00:00:00,0,0,331,0,0
